,Reason for Absence,Date,Transportation Expense,Distance to Work,Daily Work Load Average,Body Mass Index,Education,Children,Pets,Absenteeism Time in Hours
0,26,07/07/2015,289,36,239.554,30,1,2,1,4
1,0,14/07/2015,118,13,239.554,31,1,1,0,0
2,23,15/07/2015,179,51,239.554,31,1,0,0,2
3,7,16/07/2015,279,5,239.554,24,1,2,0,4
4,23,23/07/2015,289,36,239.554,30,1,2,1,2
5,23,10/07/2015,179,51,239.554,31,1,0,0,2
6,22,17/07/2015,361,52,239.554,27,1,1,4,8
7,23,24/07/2015,260,50,239.554,23,1,4,0,4
8,19,06/07/2015,155,12,239.554,25,1,2,0,40
9,22,13/07/2015,235,11,239.554,29,3,1,1,8
10,1,20/07/2015,260,50,239.554,23,1,4,0,8
11,1,14/07/2015,260,50,239.554,23,1,4,0,8
12,11,15/07/2015,260,50,239.554,23,1,4,0,8
13,11,15/07/2015,179,51,239.554,31,1,0,0,1
14,23,15/07/2015,179,51,239.554,31,1,0,0,4
15,14,17/07/2015,246,25,239.554,23,1,0,0,8
16,23,17/07/2015,179,51,239.554,31,1,0,0,2
17,21,27/07/2015,179,51,239.554,31,1,0,0,8
18,11,30/07/2015,189,29,239.554,25,1,2,2,8
19,23,05/08/2015,248,25,205.917,32,1,2,1,2
20,10,12/08/2015,330,16,205.917,25,2,0,0,8
21,11,03/08/2015,179,51,205.917,31,1,0,0,1
22,13,10/08/2015,361,52,205.917,27,1,1,4,40
23,28,14/08/2015,260,50,205.917,23,1,4,0,4
24,18,17/08/2015,289,36,205.917,30,1,2,1,8
25,25,24/08/2015,361,52,205.917,27,1,1,4,7
26,23,04/08/2015,289,36,205.917,30,1,2,1,1
27,28,12/08/2015,157,27,205.917,22,1,0,0,4
28,18,19/08/2015,289,36,205.917,30,1,2,1,8
29,23,28/08/2015,179,51,205.917,31,1,0,0,2
30,18,17/08/2015,179,51,205.917,31,1,0,0,8
31,18,27/08/2015,235,29,205.917,33,1,1,5,8
32,23,27/08/2015,235,11,205.917,29,3,1,1,4
33,18,17/08/2015,235,29,205.917,33,1,1,5,8
34,23,17/08/2015,179,51,205.917,31,1,0,0,2
35,23,17/08/2015,361,52,205.917,27,1,1,4,1
36,24,04/08/2015,289,36,205.917,30,1,2,1,8
37,11,20/08/2015,291,50,205.917,23,1,0,0,4
38,28,21/08/2015,235,29,205.917,33,1,1,5,8
39,23,28/08/2015,260,50,205.917,23,1,4,0,4
40,23,01/09/2015,184,42,241.476,21,1,0,0,2
41,23,07/09/2015,118,10,241.476,28,1,0,0,4
42,23,01/09/2015,179,51,241.476,31,1,0,0,4
43,19,08/09/2015,235,20,241.476,38,1,1,0,8
44,23,09/09/2015,155,12,241.476,25,1,2,0,2
45,23,13/09/2015,118,10,241.476,28,1,0,0,3
46,23,14/09/2015,179,51,241.476,31,1,0,0,3
47,23,24/09/2015,291,31,241.476,25,1,1,1,4
48,22,04/09/2015,260,50,241.476,23,1,4,0,8
49,14,14/09/2015,291,31,241.476,25,1,1,1,32
50,0,21/09/2015,260,50,241.476,23,1,4,0,0
51,0,28/09/2015,225,26,241.476,24,1,1,2,0
52,23,08/09/2015,225,26,241.476,24,1,1,2,2
53,23,15/09/2015,118,10,241.476,28,1,0,0,2
54,0,22/09/2015,289,36,241.476,30,1,2,1,0
55,0,29/09/2015,118,13,241.476,31,1,1,0,0
56,18,16/09/2015,225,26,241.476,24,1,1,2,3
57,23,23/09/2015,179,51,241.476,31,1,0,0,3
58,0,30/09/2015,369,17,241.476,25,1,3,0,0
59,23,11/09/2015,248,25,241.476,32,1,2,1,1
60,23,18/09/2015,179,51,241.476,31,1,0,0,3
61,23,25/09/2015,260,50,241.476,23,1,4,0,4
62,23,06/10/2015,179,51,253.465,31,1,0,0,3
63,23,13/10/2015,118,10,253.465,28,1,0,0,3
64,0,14/10/2015,118,13,253.465,31,1,1,0,0
65,23,15/10/2015,179,26,253.465,19,3,0,0,1
66,23,16/10/2015,179,51,253.465,31,1,0,0,3
67,23,16/10/2015,225,26,253.465,24,1,1,2,3
68,23,06/10/2015,118,10,253.465,28,1,0,0,3
69,23,14/10/2015,225,26,253.465,24,1,1,2,2
70,23,21/10/2015,248,25,253.465,32,1,2,1,2
71,23,22/10/2015,291,31,253.465,25,1,1,1,5
72,23,21/10/2015,179,51,253.465,31,1,0,0,8
73,23,21/10/2015,225,26,253.465,24,1,1,2,3
74,19,22/10/2015,260,50,253.465,23,1,4,0,16
75,14,13/10/2015,291,31,253.465,25,1,1,1,8
76,28,20/10/2015,225,26,253.465,24,1,1,2,2
77,26,21/10/2015,289,36,253.465,30,1,2,1,8
78,23,23/10/2015,361,52,253.465,27,1,1,4,1
79,28,30/10/2015,260,50,253.465,23,1,4,0,3
80,23,05/11/2015,179,51,306.345,31,1,0,0,1
81,23,04/11/2015,225,26,306.345,24,1,1,2,1
82,13,05/11/2015,179,51,306.345,31,1,0,0,8
83,21,12/11/2015,179,22,306.345,22,2,2,0,8
84,23,19/11/2015,291,31,306.345,25,1,1,1,5
85,10,02/11/2015,155,12,306.345,25,1,2,0,32
86,22,09/11/2015,189,29,306.345,25,1,2,2,8
87,14,16/11/2015,291,31,306.345,25,1,1,1,40
88,23,18/11/2015,225,26,306.345,24,1,1,2,1
89,6,20/11/2015,155,12,306.345,25,1,2,0,8
90,23,18/11/2015,225,26,306.345,24,1,1,2,3
91,21,25/11/2015,179,22,306.345,22,2,2,0,8
92,13,20/11/2015,225,26,306.345,24,1,1,2,3
93,28,27/11/2015,260,50,306.345,23,1,4,0,4
94,28,02/11/2015,248,25,306.345,32,1,2,1,1
95,28,10/11/2015,225,26,306.345,24,1,1,2,3
96,7,11/11/2015,289,36,306.345,30,1,2,1,24
97,23,26/11/2015,291,31,306.345,25,1,1,1,3
98,23,01/12/2015,248,25,261.306,32,1,2,1,1
99,19,01/12/2015,118,10,261.306,28,1,0,0,64
100,23,02/12/2015,118,13,261.306,31,1,1,0,2
101,26,02/12/2015,235,11,261.306,29,3,1,1,8
102,23,03/12/2015,225,26,261.306,24,1,1,2,2
